PRI Local bodies of Maharashtra (State Code: 27) State,,,,,,,
S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Parent Localbody Code
283,2,Block Panchayat,4642,1,Pathardi,पाथर्डी,424
284,2,Block Panchayat,4862,1,Pathri,पातरी,445
285,2,Block Panchayat,4687,1,Patoda,पतोडा,428
286,2,Block Panchayat,4654,1,Patur,पातूर,425
287,2,Block Panchayat,4694,1,Pauni,पौनी,429
288,2,Block Panchayat,4888,1,Pen,पेण,447
289,2,Block Panchayat,4844,1,Peth,पेठ,443
290,2,Block Panchayat,4922,2,Phaltan,फलटण,450
291,2,Block Panchayat,4675,1,Phulambri,फुलंब्री,427
292,2,Block Panchayat,4889,1,Poladpur,पोलादपूर,447
293,2,Block Panchayat,4720,1,Pombhurna,पोम्भूर्णा,431
294,2,Block Panchayat,4877,1,Purandar,पुरंदर,446
295,2,Block Panchayat,4863,1,Purna,पुर्णा,445
296,2,Block Panchayat,4981,1,Pusad,पूसद,456
297,2,Block Panchayat,4786,1,Radhanagari,राधानगरी,438
298,2,Block Panchayat,4643,1,Rahata,रहाता,424
299,2,Block Panchayat,4644,1,Rahuri,राहुरी,424
300,2,Block Panchayat,4901,1,Rajapur,राजापूर,448
301,2,Block Panchayat,4721,1,Rajura,राजूरा,431
302,2,Block Panchayat,4982,1,Ralegaon,रालेगाव,456
303,2,Block Panchayat,4809,1,Ramtek,रामटेक,440
304,2,Block Panchayat,4902,1,Ratnagiri,रत्नागिरी,448
305,2,Block Panchayat,4767,2,Raver,रावेर,436
306,2,Block Panchayat,4796,1,Renapur,रेनापूर,439
307,2,Block Panchayat,4969,1,Risod,रिसोड,455
308,2,Block Panchayat,4890,1,Roha,रोहा,447
309,2,Block Panchayat,4746,1,Sadak Arjuni,सडक अर्जुनी,434
310,2,Block Panchayat,4864,1,Sailu,सेलू,445
311,2,Block Panchayat,4695,1,Sakoli,साकोली,429
312,2,Block Panchayat,4726,1,Sakri,साकरी,432
313,2,Block Panchayat,4747,1,Salekasa,सालेकसा,434
314,2,Block Panchayat,4962,1,Samudrapur,समुद्रपूर,454
315,2,Block Panchayat,4645,1,Sangamner,संगमनेर,424
316,2,Block Panchayat,4903,1,Sangmeshwar,संगमेश्वर,448
317,2,Block Panchayat,4941,1,Sangola,सांगोला,452
318,2,Block Panchayat,4707,1,Sangrampur,संग्रामपूर,430
319,2,Block Panchayat,4722,1,Saoli,सावली,431
